Title,Author,Series,Series_Number,Topic/Genre,Location,Coppies
Harriet Tubman: Fighter for Freedom!,James Buckley Jr.,Show Me History!,N/A,Underground Railroad,"Biographies, Activist",1
Rachel Carson: Clearing the Way for Environmental Protection,Mike Venezia,N/A,N/A,"Author, Environmentalist","Biographies, Activist",1
Harvesting Hope: The Story of Cesar Chavez,Kathleen Rull,N/A,N/A,"Farmers, Cesar Chavez, Hispanic","Biographies, Activist",1
Helen Keller: Crusader for the Blind and Deaf,Stewart and Polly Anne Graff,N/A,N/A,N/A,"Biographies, Activist",1
Meet Wassily Kandinsky,Read With You,Meet,N/A,"Artist, Wassily Kandinsky","Biographies, Artist/Musician",1
Meet Rosa Bonheur,Read With You,Meet,N/A,"Artists, Rosa Bonheur","Biographies, Artist/Musician",1
Meet Berthe Morisot,Read With You,Meet,N/A,French,"Biographies, Artist/Musician",1
Frida Kahlo: The Revolutionary Painter!,James Buckley Jr.,Show Me History!,N/A,"Artists, Hispanic","Biographies, Artist/Musician",1
Who Was Celia Cruz?,Pam Pollack,Who Was,N/A,"Singer, Hispanic","Biographies, Artist/Musician",2
Building on Nature: The LIfe of Antoni Gaudí,Rachel Rodríguez,N/A,N/A,Architect,"Biographies, Artist/Musician",1
Frida Kahlo,Mike Venezia,N/A,N/A,"Artists, Hispanic","Biographies, Artist/Musician",1
Diego,Marisa Boan,N/A,N/A,"Diego Rivera, Hispanic, Artist","Biographies, Artist/Musician",1
Pablo Picasso,Janet Buell,N/A,N/A,Hispanic,"Biographies, Artist/Musician",1
Duke Ellington,Andrea Davis Pinkney,N/A,N/A,Musician,"Biographies, Artist/Musician",1
My Name is Celia: The Life of Celia,Monica Brown,N/A,N/A,"Singer, Hispanic","Biographies, Artist/Musician",1
Norman Rockwell Paints America,Carolyn Staven,N/A,N/A,N/A,"Biographies, Artist/Musician",1
I Am Lebron James,Grace Norwich,Scholastic (I Am),N/A,"Basketball, Lebron James","Biographies, Athletes",1
Who Is Cristiano Ronaldo,James Buckley Jr.,Who Is ,N/A,"Soccer, Hispanic","Biographies, Athletes",1
"Cal Ripken, Jr.: Play Ball!","Cal Ripken, Jr., Mike Bryan",N/A,N/A,Baseball,"Biographies, Athletes",1
Jackie Robinson and the STory of All-Black Baseball,Jim O'Connor,N/A,N/A,"Baseball, Black history","Biographies, Athletes",1
Satch & Me,Dan Gutman,N/A,N/A,"Baseball, Satchel Paige","Biographies, Athletes",1
A Boy Named Boomer,Boomer Esiason,N/A,N/A,Football,"Biographies, Athletes",1
The Pettys: Triumphs & Tragedies of Auto Racing's First Family,Mark Stewart,N/A,N/A,Race Cars,"Biographies, Athletes",1
Fabulous Female Athletes,Peggy Bresnick Kendler,N/A,N/A,Women's History,"Biographies, Athletes",6
La Historia de Ruby Bridges,Robert Coles,N/A,N/A,In Spanish,"Biographies, Civil Rights",1
"Martin's Big Words: The Life of Dr. Martin Luther King, Jr.",Doreen Rappaport,N/A,N/A,Martin Luther King Jr.,"Biographies, Civil Rights",2
"Martin Luther King, Jr.: Courageous Civil Rights Leader",Dennis Fertig,N/A,N/A,MLK Jr,"Biographies, Civil Rights",6
"Martin Luther King, Jr.: A Brave Leader",Dennis Fertig,N/A,N/A,MLK Jr,"Biographies, Civil Rights",6
"Martin Luther King, Jr. and the Struggle for Civil Rights",Dennis Fertig,N/A,N/A,MLK Jr.,"Biographies, Civil Rights",6
Young Martin's Promise,Walter Dean Myers,N/A,N/A,MLK Jr.,"Biographies, Civil Rights",1
"I Have a Dream: Dr. Martin Luther King, Jr.",Kadir Nelson,N/A,N/A,MLK Jr.,"Biographies, Civil Rights",1
Rosa,Nikki Giovanni,N/A,N/A,Rosa Parks,"Biographies, Civil Rights",1
Mary McLeod Bethune: Fights for Justice,Kate Broad,N/A,N/A,N/A,"Biographies, Civil Rights",6
Mary McLeod Bethune's Many Achievments,Kate Broad,N/A,N/A,N/A,"Biographies, Civil Rights",6
Mary McLeod Bethune Works for Civil Rights,Kate Broad,N/A,N/A,N/A,"Biographies, Civil Rights",6
Abigail Adams: Girl of Colonial Days,Jean Brown Wagoner,Childhood of Famous Americans,N/A,Abigail Adams,"Biographies, Miscellaneous",1
Clara Barton: Founder of American Red Cross,Augusta Stevenson,Childhood of Famous Americans,N/A,Clara Barton,"Biographies, Miscellaneous",1
Bertrand's Quest,Carole Wilkinson,Fact Meets Fiction,N/A,"Bertrand du Guesclin, knights","Biographies, Miscellaneous",1
Heroes for all Times,"Mary Pope Osborne, Natalie Pope Boyce",Magic Tree House Fact Tracker,N/A,N/A,"Biographies, Miscellaneous",1
Martin and Chris Kratt: The Wild Life,"Martin Kratt, Chris Kratt",Step Into Reading,N/A,Modern,"Biographies, Miscellaneous",1
Who Was Julius Caesar?,Nico Medina,Who Was,N/A,Julius Caesar,"Biographies, Miscellaneous",1
Chief Joseph: Nez Perce Peacekeeper,Diane Shaughnessy,N/A,N/A,Indigenous History,"Biographies, Miscellaneous",1
Brave Bessie: Queen of the Skies,Sharon Franklin,N/A,N/A,Pilot,"Biographies, Miscellaneous",5
Talkin' About Bessie: The Story of Aviator Elizabeth Coleman,Nikki Grimes,N/A,N/A,"Pilot, Elizabeth Coleman","Biographies, Miscellaneous",1
Amelia Earhart,Roxane Chadwick,N/A,N/A,"Pilot, Women's History","Biographies, Miscellaneous",1
Amelia Earhart: Adventure in the Sky,"Francene Sabin, Joanne Mattern",N/A,N/A,"Pilot, Women's History","Biographies, Miscellaneous",1
Christopher Columbus,Stephen Krensky,N/A,N/A,Pioneer,"Biographies, Miscellaneous",1
Daniel Boone,Tom Streissguth,N/A,N/A,Pioneer,"Biographies, Miscellaneous",1
Sonia Sotomayor: A Judge Grows in the Bronx,Jonah Winter,N/A,N/A,Supreme COurt,"Biographies, Miscellaneous",1
Henry's Freedom Box: A True Story from the Underground Railroad,Ellen Levine,N/A,N/A,Underground Railroad,"Biographies, Miscellaneous",1
Great People Make America Great,Nora Viera,N/A,N/A,N/A,"Biographies, Miscellaneous",1
A Picture Book of Eleanor Roosevelt,David A. Adler,N/A,N/A,N/A,"Biographies, Miscellaneous",1
Dolley Madison Saves George Washington,Kathryn L. O'Dell,N/A,N/A,N/A,"Biographies, Miscellaneous",1
George Washington,Kimberly Weinberger,Let's Read About...,N/A,"Founding Father, President","Biographies, Presidents",1
"Barack Obama: Son of Promise, Child of Hope",Nikki Grimes,N/A,N/A,President,"Biographies, Presidents",1
A Picture Book of John F. Kennedy,David A. Adler,N/A,N/A,President,"Biographies, Presidents",1
"Bully for You, Teddy Roosevelt!",Jean Fritz,N/A,N/A,President,"Biographies, Presidents",1
Theodore Roosevelt: President and Conservationist,Tamara Orr Staats,N/A,N/A,N/A,"Biographies, Presidents",6
Theodore Roosevelt: Progressive President,Tamara Orr Staats,N/A,N/A,N/A,"Biographies, Presidents",6
President Theodore Roosevelt,Tamara Orr Staats,N/A,N/A,N/A,"Biographies, Presidents",6
Luis W. Alvarez,Corinn Codye,Hispanic Stories,N/A,Hispanic,"Biographies, Scientists/Innovators",1
Johan Reinhard: Discovering Ancient Civilizations,Rebecca L. Johnson,National Geographic,N/A,Scientist,"Biographies, Scientists/Innovators",1
"Take a Giant Leap, Neil Armstrong!","Peter Roop, Connie Roop",Scholastic,N/A,Astronauts,"Biographies, Scientists/Innovators",1
Great Black Heroes: Five Brilliant Scientists,Lynda Jones,Scholastic,N/A,Important Black People in HIstory,"Biographies, Scientists/Innovators",2
Two Women Astronauts,Ian Gale,N/A,N/A,Astronauts,"Biographies, Scientists/Innovators",6
The Wright Brothers: Inventors Whose Ideas Really Took Flight,MIke Venezia,N/A,N/A,Aviation,"Biographies, Scientists/Innovators",1
Bejamin Franklin,Jeanne Dustman,N/A,N/A,"Benjamin Franklin, Founding Father","Biographies, Scientists/Innovators",1
Louis Braille: The Boy Who Invented Books for the Blind,Margaret Davidson,N/A,N/A,Braille,"Biographies, Scientists/Innovators",1
Benjamin Franklin: Electrified the World with New Ideas,MIke Venezia,N/A,N/A,"Electricity, Founding Father","Biographies, Scientists/Innovators",1
John Muir: My Life with Nature,Joseph Bharat Cornell,N/A,N/A,Nature,"Biographies, Scientists/Innovators",1
Cornelius Vanderbilt: Builder of Railroads,Dennis Fertig,N/A,N/A,Railroad,"Biographies, Scientists/Innovators",6
The Business Empire of Cornelius Vanderbilt,Dennis Fertig,N/A,N/A,Railroad,"Biographies, Scientists/Innovators",6
Cornelius Vanderbilt: American Entrepreneur,Dennis Fertig,N/A,N/A,Railroad,"Biographies, Scientists/Innovators",6
Shark Lady: True Adventures of Eugenie Clark,Ann McGovern,N/A,N/A,Sharks,"Biographies, Scientists/Innovators",2
Elizabeth Blackwell: First Woman Doctor,"Francene Sabin, JoAnn Early Macken",N/A,N/A,Women's History,"Biographies, Scientists/Innovators",1
Pequeña y Grande Marie Curie,Isabel Sánchez Vegara,N/A,N/A,Women's History,"Biographies, Scientists/Innovators",1
Hedy Lamarr and a Secret Communication System,Trina Robbins,N/A,N/A,WWII,"Biographies, Scientists/Innovators",1
Hedy Lamarr,Maria Isabel Sánchez Vegara,N/A,N/A,WWII,"Biographies, Scientists/Innovators",1
I Am Albert Einstein,Brad Meltzer,N/A,N/A,N/A,"Biographies, Scientists/Innovators",1
Louis Pasteur and the Fight Against Germs,Lisa Zamosky,N/A,N/A,N/A,"Biographies, Scientists/Innovators",1
The Three Little Pigs,"Gledhill, Carly",N/A,N/A,Retelling Old Stories,"Instructional, 5th Grade",1
Los Tres Pequeños Jabalíes (Three Little Javelinas),"Lowell, Susan",N/A,N/A,Retelling Old Stories,"Instructional, 5th Grade",1
Race the World: Rain Forest Relay,"Earhart, Kristen",Race the Wild,1,N/A,"Instructional, 4th Grade",7
The Great Kapok Tree,"Cherry, Lynne",N/A,N/A,N/A,"Instructional, 4th Grade",8
"The Eruption of Mount St. Helens, 1980","Tarshis, Lauren",I Survived,N/A,N/A,"Instructional, 4th Grade",5
